"What is the Sustainability Design Guide introduced in 2021 used for?","b","a, c, d"
"What informs decisions on sustainable design and construction at the University?","c","a, b, d"
"What does the IDM (Integrated Design and Modelling) program focus on?","b","a, c, d"
"What does the University aim to achieve with Whole Life Carbon (WLC) assessments for all capital projects?","b","a, c, d"
"What does the first phase of the WLC assessment involve?","b","a, c, d"
"What is Option 1 in the review of potential heat pump technology transition options?","a","b, c, d"
"What characterizes Option 2 in the review of potential heat pump technology transition options?","b","a, c, d"
"What is the focus of Option 3 in the review of potential heat pump technology transition options?","c","a, b, d"
"What is a key principle of WLC assessments for capital projects?","b","a, c, d"
"What does achieving Passivhaus standard on all new builds aim to accomplish?","d","a, b, c"
