"How can individuals contribute to sustainability when commuting?","Opt for walking or cycling more","Increase the use of personal vehicles, Choose longer routes for commuting, Use electric scooters for short distances"
"What is a sustainable alternative to traditional gym equipment that harnesses human energy?","Human-powered elliptical machines","Treadmills, Stationary bikes, Solar-powered elliptical machines"
"How can leisure centers encourage sustainable transportation options?","Providing bike racks and walking paths","Promoting long-distance driving, Offering discounts for carpooling, Supporting private shuttle services"
"What role can leisure centers play in reducing plastic waste?","Providing water fountains for refilling reusable bottles","Encouraging single-use plastic bottle usage, Selling disposable water bottles, Offering plastic-wrapped snacks"
"Which sustainable practice can be implemented in the design of leisure center facilities?","Installing energy-efficient LED lighting","Maximizing energy-intensive lighting, Using disposable towels, Offering single-use plastic amenities"
"How can leisure centers promote sustainable fitness routines?","Offering energy-efficient equipment and LED lighting","Encouraging excessive energy consumption during workouts, Disregarding waste reduction initiatives, Discouraging walking or cycling to the center"
"What is a sustainable option for hydration at leisure centers?","Providing water stations for refilling reusable bottles","Encouraging single-use plastic cup usage, Selling bottled water exclusively, Offering disposable drink containers"
"How can leisure centers contribute to sustainable community engagement?","Encouraging local community events and competitions","Hosting events that require extensive travel, Ignoring community partnerships, Discouraging participation in outdoor activities"
"What sustainable initiative can leisure centers implement to reduce energy consumption during non-peak hours?","Implementing energy-saving measures during off-peak times","Keeping lights and equipment running continuously, Using non-renewable energy sources exclusively, Disregarding energy efficiency altogether"
"What is a sustainable practice for waste management at leisure centers?","Implementing effective recycling programs and waste reduction initiatives","Encouraging excessive use of disposable towels, Promoting single-use plastic packaging for amenities, Disposing of waste in landfills without sorting"
